photo_id,date,phase
20230803.JPG,20230803,o
20230804.JPG,20230804,o
20230805.JPG,20230805,o
20230806.JPG,20230806,o
20230809.JPG,20230809,p
20231003.JPG,20231003,p
20231005.JPG,20231005,o
20231006.JPG,20231006,o
20231010.JPG,20231010,p
20231014.JPG,20231014,o
20231016.JPG,20231016,p
20231017.JPG,20231017,p
20231018.JPG,20231018,p
20231019.JPG,20231019,p
20231020.JPG,20231020,p
20231021.JPG,20231021,p
20231022.JPG,20231022,t
20231023.JPG,20231023,t
20231024.JPG,20231024,t
20231026.JPG,20231026,t
20231027.JPG,20231027,t
20231028.JPG,20231028,t
20231030.JPG,20231030,t
20231031.JPG,20231031,t
20231103.JPG,20231103,t
20231104.JPG,20231104,t
20231105.JPG,20231105,p
20231106.JPG,20231106,p
20231110.JPG,20231110,o
20231116.JPG,20231116,o
20231117.JPG,20231117,o
20231118.JPG,20231118,o
20231126.JPG,20231126,o
20231128.JPG,20231128,o
20231130.JPG,20231130,o
20231207.JPG,20231207,o
20231209.JPG,20231209,o
20231218.JPG,20231218,p
20231222.JPG,20231222,p
20231223.JPG,20231223,o
20231224.JPG,20231224,o
20231228.JPG,20231228,o
20231231.JPG,20231231,o
20240102.JPG,20240102,o
20240104.JPG,20240104,o
20240117.JPG,20240117,o
20240124.JPG,20240124,o
20240125.JPG,20240125,o
20240126.JPG,20240126,p
20240128.JPG,20240128,o
20240131.JPG,20240131,p
20240202.JPG,20240202,o
20240208.JPG,20240208,o
20240213.JPG,20240213,o
20240214.JPG,20240214,p
20240215.JPG,20240215,o
20240218.JPG,20240218,p
20240219.JPG,20240219,o
20240220.JPG,20240220,o
20240221.JPG,20240221,o
20240303.JPG,20240303,o
20240305.JPG,20240305,o
20240311.JPG,20240311,o
20240312.JPG,20240312,o
20240314.JPG,20240314,o
20240401.JPG,20240401,o
20240409.JPG,20240409,o
20240419.JPG,20240419,o
20240423.JPG,20240423,o
20240428.JPG,20240428,o
20240504.JPG,20240504,o
20240505.JPG,20240505,o
20240510.JPG,20240510,o
20240517.JPG,20240517,o
20240616.JPG,20240616,o
20240621.JPG,20240621,o
20240630.JPG,20240630,o
20240707.JPG,20240707,o
20240717.JPG,20240717,o
20240718.JPG,20240718,o
20240724.JPG,20240724,p
20240726.JPG,20240726,p
20240727.JPG,20240727,t
20240728.JPG,20240728,t
20240729.JPG,20240729,t
20240730.JPG,20240730,t
20240731.JPG,20240731,t
20240802.JPG,20240802,t
20240803.JPG,20240803,t
20240804.JPG,20240804,t
20240805.JPG,20240805,t
20240806.JPG,20240806,t
20240807.JPG,20240807,p
20240809.JPG,20240809,p
20240810.JPG,20240810,o
20240822.JPG,20240822,p
20240823.JPG,20240823,p
20240827.JPG,20240827,p
20240902.JPG,20240902,t
20240903.JPG,20240903,t
20240906.JPG,20240906,t
20240907.JPG,20240907,p
20240908.JPG,20240908,p
20240910.JPG,20240910,p
20240911.JPG,20240911,t
20240912.JPG,20240912,t
20240913.JPG,20240913,t
20240915.JPG,20240915,t
20240916.JPG,20240916,t
20240917.JPG,20240917,t
20240918.JPG,20240918,t
20240919.JPG,20240919,t
20240920.JPG,20240920,p
20240921.JPG,20240921,p
20240922.JPG,20240922,p
20240923.JPG,20240923,p
20240927.JPG,20240927,t
20240928.JPG,20240928,p
20241002.JPG,20241002,p
20241004.JPG,20241004,o
20241005.JPG,20241005,o
20241006.JPG,20241006,p
20241007.JPG,20241007,p
20241008.JPG,20241008,p
20241012.JPG,20241012,t
20241016.JPG,20241016,t
20241019.JPG,20241019,t
20241023.JPG,20241023,p
20241027.JPG,20241027,o
20241028.JPG,20241028,o
20241029.JPG,20241029,o
20241102.JPG,20241102,p
20241104.JPG,20241104,t
20241106.JPG,20241106,t
20241107.JPG,20241107,t
20241109.JPG,20241109,t
20241111.JPG,20241111,t
20241112.JPG,20241112,t
20241113.JPG,20241113,t
20241115.JPG,20241115,t
20241121.JPG,20241121,o
20241124.JPG,20241124,o
20241126.JPG,20241126,o
20241127.JPG,20241127,o
20241130.JPG,20241130,o
20241203.JPG,20241203,t
20241204.JPG,20241204,p
20241206.JPG,20241206,p
20241207.JPG,20241207,p
20241211.JPG,20241211,p
20241215.JPG,20241215,p
20241216.JPG,20241216,p
20241218.JPG,20241218,p
20241221.JPG,20241221,o
20241222.JPG,20241222,o
20241223.JPG,20241223,o
20241224.JPG,20241224,o
20241225.JPG,20241225,o
20241229.JPG,20241229,o
20241230.JPG,20241230,o
20250102.JPG,20250102,o
20250106.JPG,20250106,p
20250107.JPG,20250107,o
20250108.JPG,20250108,o
20250113.JPG,20250113,p
20250120.JPG,20250120,o
20250123.JPG,20250123,o
20250129.JPG,20250129,o
20250201.JPG,20250201,o
20250209.JPG,20250209,o
20250212.JPG,20250212,p
20250213.JPG,20250213,o
20250214.JPG,20250214,o
20250215.JPG,20250215,o
20250217.JPG,20250217,o
20250220.JPG,20250220,o
20250306.JPG,20250306,o
20250308.JPG,20250308,o
20250310.JPG,20250310,o
20250312.JPG,20250312,o
20250317.JPG,20250317,o
20250319.JPG,20250319,o
20250325.JPG,20250325,o
20250327.JPG,20250327,o
20250407.JPG,20250407,p
20250408.JPG,20250408,p
20250409.JPG,20250409,p
20250410.JPG,20250410,p
20250411.JPG,20250411,p
20250413.JPG,20250413,p
20250417.JPG,20250417,p
20250418.JPG,20250418,p
20250421.JPG,20250421,p
20250423.JPG,20250423,p
20250424.JPG,20250424,p
20250425.JPG,20250425,p
20250426.JPG,20250426,p
20250427.JPG,20250427,p
20250428.JPG,20250428,p
20250503.JPG,20250503,p
20250508.JPG,20250508,p
20250513.JPG,20250513,p
20250516.JPG,20250516,t
20250520.JPG,20250520,p
20250522.JPG,20250522,p
20250525.JPG,20250525,t
20250528.JPG,20250528,t
20250601.JPG,20250601,t
20250602.JPG,20250602,p
20250603.JPG,20250603,p
20250604.JPG,20250604,p
20250610.JPG,20250610,p
20250611.JPG,20250611,p
20250613.JPG,20250613,o
20250614.JPG,20250614,o
20250615.JPG,20250615,o
20250616.JPG,20250616,o
20250619.JPG,20250619,o
20250621.JPG,20250621,o
20250624.JPG,20250624,o
20250627.JPG,20250627,o
20250702.JPG,20250702,o
20250703.JPG,20250703,o
20250706.JPG,20250706,o
20250710.JPG,20250710,p
20250713.JPG,20250713,t
20250715.JPG,20250715,t
20250716.JPG,20250716,t
20250717.JPG,20250717,t
20250718.JPG,20250718,t
20250719.JPG,20250719,t
20250720.JPG,20250720,p
20250721.JPG,20250721,p
20250725.JPG,20250725,p
20250729.JPG,20250729,o
20250803.JPG,20250803,o
20250804.JPG,20250804,o
20250806.JPG,20250806,p
20250809.JPG,20250809,p
20250811.JPG,20250811,t
20250812.JPG,20250812,t
20250814.JPG,20250814,t
20250815.JPG,20250815,t
20250819.JPG,20250819,p
20250820.JPG,20250820,p
20250822.JPG,20250822,p
20250824.JPG,20250824,p
20250825.JPG,20250825,p
20250826.JPG,20250826,p
20250829.JPG,20250829,p
20250830.JPG,20250830,p
20250901.JPG,20250901,p
20250902.JPG,20250902,p
20250903.JPG,20250903,p
20250905.JPG,20250905,t
20250906.JPG,20250906,t
20250908.JPG,20250908,t
20250912.JPG,20250912,t
20250913.JPG,20250913,t
20250916.JPG,20250916,t
20250917.JPG,20250917,t
20250918.JPG,20250918,p
20250919.JPG,20250919,p
20250920.JPG,20250920,o
20250921.JPG,20250921,o
20250926.JPG,20250926,o
20250928.JPG,20250928,o
20250929.JPG,20250929,p
20250930.JPG,20250930,p
20251004.JPG,20251004,p
20251006.JPG,20251006,p
20251011.JPG,20251011,t
20251014.JPG,20251014,t
